"label","X1","X2","cluster","clusternorm"
"*California",14.0999789103588,17.5037052881884,440,0.22
"*Cases",-1.6482349706156,7.44336475805469,429,0.2145
"*Copies",0.245271624052746,11.4411299192262,429,0.2145
"*Defined",-22.6769439116701,-14.5511572982618,225,0.1125
"*Fever",-23.0836604303385,0.74732024285844,1134,0.567
"*For",-4.00784307104571,13.7808738489767,960,0.48
"*In",-3.193439046884,12.5482239286445,1317,0.6585
"*Includes",-2.93488481612673,1.09013049066974,829,0.4145
"*International",17.3973532515336,13.8541939269086,131,0.0655
"*Levels",-0.403845326699118,11.4178943036614,337,0.1685
"*References",19.5519251867524,6.29305692663115,916,0.458
"*Since",-4.39873444632781,12.8610579482707,795,0.3975
"*Single",0.336428891776478,11.5591494156776,960,0.48
"*The",-2.42953639056922,9.15275028768486,587,0.2935
"*These",-1.56696595474185,7.62416291636253,429,0.2145
"*This",-1.12909581663189,14.0977353447572,587,0.2935
"*U03",-19.0093486586461,2.54040161495606,1003,0.5015
"*Use",18.0673217970406,-9.12896636859072,1957,0.9785
".",-1.57215911792348,7.95252127344191,1574,0.787
".''",-1.70531840634006,7.72663420592868,1574,0.787
".-",-11.6180548883332,7.9380047732478,1454,0.727
".--",-4.29863946752335,24.5593414320843,1087,0.5435
".--born",-11.5511394996422,7.80751119809891,796,0.398
".--Mexico",5.14526236861003,14.240169066645,247,0.1235
